adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/73BClq9FOcrWrutnpiqhCNEWEwJ.jpg,"[18, 10749, 36]",858024,en,Hamnet,"자연 속에서 자유롭게 살아온 ‘아녜스’는 마을에 새로 온 교사 ‘윌리엄 셰익스피어’와 사랑에 빠져 가정을 이룬다. 어느 날, 두 사람에게 예기치 못한 비극이 찾아오고 삶의 가장 소중한 것을 잃은 참혹한 상실의 고통 속에서 두 사람은 각자의 방식으로 상처와 비극을 극복하게 되는데…",59.5105,/96ikpEmn7Uxct77x6kTIUgnldh2.jpg,2025-11-26,햄넷,False,7.743,808
False,/geQgwdQBNYOVoUKK2oBB0ILilIa.jpg,"[878, 53]",475961,en,Curvature,"젊은 여성 과학도 '헬렌'은 어느날 이상한 전화를 받게 된다.  내용은 시간여행을 통해 살인을 저지르고자 하는 일당을 과학적으로 막아달라는 내용.  이 믿을수 없는 내용에 헬렌은 처음에는 무시하지만, 점점 자기 주위에 과학적으로 설명이 불가능한 이상한 일들이 일어나고...  곧, '전화속의 의뢰'가 오직 자신만이 할수 있는, 하지 않아서는 안되는 중요한 일임을 알게 된다.  하지만, 이 미션은 일급 국가 기밀 시설에 침입해야 가능한 것으로...  과연, 이 어린 과학도가 (그것도)여성의 몸으로 완수할 수 있을 것인가.  몇 사람의 소중한 목숨이 그녀에게 달려 있는데...",52.8272,/iW8z0qYHtM3ymPG4JYQIvoVb5d9.jpg,2017-10-08,커버처: 세이브 더 퓨처,False,4.938,80
False,/qKWDHofjMHPSEOTLaixkC9ZmjTT.jpg,[18],1317288,en,Marty Supreme,"1950년대 뉴욕에서 탁구 선수 마티 마우저는 누구도 인정하지 않는 꿈을 품은 청년으로, 위대함을 추구하며 지옥을 오가며 고군분투한다.",60.2578,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,2025-12-19,마티 슈프림,False,7.525,1080
False,/xM2dUqkpaSHOR87ojZ538DGQqcD.jpg,"[27, 878, 53, 18]",1289893,en,Somnium,,56.3518,/cPUeMJkPLDWSOA6OU862EdZhylS.jpg,2025-08-28,Somnium,False,5.6,25
False,/pGFQCp12a8andfPlpnmXz44IIvY.jpg,"[878, 28, 12]",24428,en,The Avengers,"에너지원 큐브를 이용한 적의 등장으로 인류가 위험에 처하자 국제평화유지기구인 쉴드의 국장 닉 퓨리는 어벤져스 작전을 위해 전 세계에 흩어져 있던 슈퍼히어로들을 찾아나선다. 아이언맨부터 토르, 헐크, 캡틴 아메리카는 물론, 쉴드의 요원인 블랙 위도우, 호크 아이까지, 최고의 슈퍼히어로들이 어벤져스의 멤버로 모이게 되지만, 각기 개성이 강한 이들의 만남은 예상치 못한 방향으로 흘러가는데...",53.9552,/krgjV3rJtBcEpQehODKXNCt6uFL.jpg,2012-04-25,어벤져스,False,7.956,36211
False,/7uXzE0ZBkbAeKylOz7cUQF4Yw75.jpg,[18],879945,nl,L'homme inconnu,"내리쬐는 여름 태양 아래, 거센 파도 속에서 돋아나는 사랑. 이 작품에는 여름의 뜨거움과 고요함이 담겨있다. 색감과 노래에서 묻어 나오는 감정들은 영화에 더욱 몰입하게 한다.",35.4751,/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,2021-10-16,무명의 남자,False,8.5,2
False,/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg,"[12, 35, 27, 28]",1234731,en,Anaconda,"중년의 위기를 겪고 있는 친구들이 젊은 시절 가장 좋아했던 영화를 재현하기 위해 열대우림으로 떠난다. 그러나 그들은 자연 재해, 거대한 뱀, 그리고 폭력적인 범죄자들과 맞서 싸우며 생존을 위한 사투를 벌이게 된다.",51.4454,/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,2025-12-24,아나콘다,False,5.8,680
False,/dHSz0tSFuO2CsXJ1CApSauP9Ncl.jpg,"[53, 80, 9648]",425274,en,Now You See Me: Now You Don't,"한때 더러운 방식으로 돈을 모으는 재벌들을 시원하게 혼내주던 마술사기단 ‘포 호스맨’. 은퇴 후 평범한 삶을 살고 있던 그들에게 새로운 임무를 알리는 의미심장한 카드가 배달된다. 그렇게 다시 모이게 된 오리지널 ‘포 호스맨’은 자신들을 흉내 내던 신예 마술사들까지 영입하며 미션을 준비한다. 그들의 목표는 무기 밀매, 자금 세탁 등 더러운 돈에 물든 ‘하트 다이아몬드’를 훔치는 것. 하지만 다이아몬드를 훔치고, 통쾌한 쇼를 선보이려는 이들 앞에는 수많은 함정이 펼쳐지는데…",49.5657,/dECA069mRikkghzgSBsM0cvic4F.jpg,2025-11-12,나우 유 씨 미 3,False,6.529,1139
False,/4IEjHlV6ciUPopHnEs5AfBNJ6XS.jpg,[28],1634858,es,Cuerno Azulado,,46.8373,/q0OveDlsh5BNq6ifZqNWKtLKiwb.jpg,2025-09-10,Cuerno Azulado,False,6.857,14
False,/kVSUUWiXoNwq2wVCZ4Mcqkniqvr.jpg,"[16, 10751, 35, 12, 14]",991494,en,The SpongeBob Movie: Search for SquarePants,"비키니시티에 사는 스폰지밥은 무시무시한 롤러코스터를 탈 수 있는 용감한 ‘빅 가이’가 꿈이다. 그러던 어느 날, 미지의 세계 ‘언더월드’에 사는 유령선장을 만나 ‘용감무쌍짱 증명서’를 받으면 진정한 ‘빅 가이’가 될 수 있다는 말을 들은 스폰지밥은 절친 뚱이와 함께 해적선을 찾아 위험천만한 모험을 떠난다. 그 사실을 안 집게사장과 징징이, 핑핑이는 스폰지밥을 구하기 위해 따라나서는데…",50.0189,/2QCGC4toQXYuIsWKj5vJQRAdPjd.jpg,2025-12-16,스폰지밥 무비: 네모바지를 찾아서,False,6.8,218
